,0
0,alabama
1,alaska
2,arizona
3,arkansas
4,california
5,delaware
6,florida
7,georgia
8,hawaii
9,illinois
10,indiana
11,iowa
12,kansas
13,kentucky
14,louisiana
15,maine
16,maryland
17,massachusetts
18,michigan
19,minnesota
20,mississippi
21,missouri
22,nebraska
23,nevada
24,new hampshire
25,new jersey
26,new york
27,north carolina
28,north dakota
29,ohio
30,oklahoma
31,oregon
32,pennsylvania
33,south carolina
34,south dakota
35,tennessee
36,texas
37,utah
38,vermont
39,virginia
40,washington
41,west virginia
42,wisconsin
43,wyoming
